Region,Zone,Woreda,Pcode,Total Population,IDPs (Acute),Non-Displaced (Acute),TOTAL (Acute),IDPs (Moderate),Non-Displaced (Moderate),TOTAL (Moderate),Grand Total,IDP Male Children,IDP Female Children,IDP Male Adult,IDP Female Adult,IDP Male Elderly,IDP Female Elderly,IDP Male Children2,IDP Female Children2,IDP Male Adult2,IDP Female Adult2,IDP Male Elderly2,IDP Female Elderly2,ND Male Children,ND Female Children,ND Male Adult,ND Female Adult,ND Male Elderly,ND Female Elderly,ND Male Children2,ND Female Children3,ND Male Adult4,ND Female Adult5,ND Male Elderly6,ND Female Elderly7
SNNP,Kembata Tibaro                ,Kediada Gambela,ET070303,112833.6853,0,2443.3,2443.3,4248,108.55,4356.55,6799.85,0,0,0,0,0,0,1232.379882,1291.740619,704.3242472,736.4045375,140.7632443,142.3874706,644.0261343,650.9228657,512.1830483,517.6679017,58.934467,59.565583,28.61254732,28.91895268,22.75507301,22.99875199,2.61831801,2.64635699
SNNP,Kembata Tibaro                ,Kacha Bira,ET070304,118627.1318,0,2262.627603,2262.627603,1273,907.5272861,2180.527286,4443.154889,0,0,0,0,0,0,369.307813,387.0964707,211.0651522,220.6786667,42.18258238,42.66931497,586.8803507,612.3122788,466.735977,486.9615575,53.7050887,56.03235004,235.3944287,245.5950329,187.2051919,195.3175592,21.54081093,22.47426245
SNNP,Kembata Tibaro                ,Hadero Tunto,ET070305,90736.49444,0,1879.43256,1879.43256,2334,793.324163,3127.324163,5006.756723,0,0,0,0,0,0,677.1126752,709.7275433,386.9804127,404.6064478,77.34025708,78.23266391,489.2777829,506.8214741,389.1143122,403.066512,44.77353296,46.37894622,206.528234,213.9335724,164.2483974,170.1377373,18.89928179,19.57694012
SNNP,Kembata Tibaro                ,Doya Gena,ET070306,101757.0801,0,1753.672786,1753.672786,1326,909.4287003,2235.4287,3989.101486,0,0,0,0,0,0,384.6835507,403.2128202,219.8526252,229.8663881,43.93880929,44.44580649,454.4663956,474.9801807,361.4294071,377.743672,41.58796262,43.46516748,235.6795332,246.3176779,187.4319307,195.8922665,21.56690068,22.54039128
SNNP,Kembata Tibaro                ,Damboya,ET070307,107901.9223,0,1902.7,1902.7,3081,1053.53972,4134.53972,6037.23972,0,0,0,0,0,0,893.8235442,936.876847,510.8340409,534.1013135,102.0931157,103.2711386,505.195964,503.235036,401.7737714,400.2142786,46.2301967,46.0507533,279.7309163,278.6451354,222.4652476,221.6017444,25.59801782,25.49865861
SNNP,Kembata Tibaro                ,Durame Town,ET070308,53049.55465,0,0,0,0,530.4955465,530.4955465,530.4955465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.0170435,147.1455962,106.5814789,117.0223939,12.26382379,13.46521022
SNNP,Kembata Tibaro                ,Hadero Town,ET070309O,51008.40367,0,0,0,0,510.0840367,510.0840367,510.0840367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.0169376,140.3276019,103.4002626,111.6001589,11.89777636,12.84129942
SNNP,Kembata Tibaro                ,Shinshecho Town,ET070310O,34339.00402,0,0,0,0,343.3900402,343.3900402,343.3900402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.76480676,94.23191456,69.79786047,74.94104148,8.031307789,8.623109162
SNNP,Sidama,Shebe Dino,ET070401,294856.6849,0,22195.16536,22195.16536,0,2712.825792,2712.825792,24907.99115,0,0,0,0,0,0,0,0,0,0,0,0,5929.505626,5833.932012,4715.635135,4639.627063,542.6057035,533.8598162,724.739624,713.0580457,576.3731161,567.0829552,66.32051277,65.25153814
SNNP,Sidama,Hawassa Zuria,ET070402,150921.9292,0,0,0,0,1509.219292,1509.219292,1509.219292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.6220222,396.2642026,320.9937403,315.1421913,36.93522279,36.26191288
SNNP,Sidama,Arbe Gonna,ET070403,171105.2864,0,432.520705,432.520705,0,1711.052864,1711.052864,2143.573569,0,0,0,0,0,0,0,0,0,0,0,0,114.4276289,114.8083448,91.00235015,91.30512701,10.47120755,10.50604664,452.6759525,454.1820653,360.0054981,361.203284,41.42412018,41.56194371
SNNP,Sidama,Dale,ET070404,257424.3797,0,2118.27508,2118.27508,0,2574.243797,2574.243797,4692.518877,0,0,0,0,0,0,0,0,0,0,0,0,568.0037888,554.6820035,451.7237679,441.1291783,51.9777052,50.75863617,690.2692875,674.079925,548.9594428,536.0843177,63.16615178,61.68467238
SNNP,Sidama,Aleta Wendo,ET070405,202345.8965,0,645.394945,645.394945,0,2023.458965,2023.458965,2668.85391,0,0,0,0,0,0,0,0,0,0,0,0,174.3071198,167.752201,138.6234925,133.4104768,15.95074587,15.35090896,546.4922016,525.9410502,434.6159678,418.2719861,50.00919203,48.1285678
SNNP,Sidama,Dara,ET070406,198413.3197,0,4543.182361,4543.182361,0,49.86706263,49.86706263,4593.049424,0,0,0,0,0,0,0,0,0,0,0,0,1182.9796,1224.907052,940.8035873,974.147778,108.2537936,112.090551,12.9846687,13.4448745,10.32648652,10.69248038,1.188219683,1.230332855
SNNP,Sidama,Hulla,ET070407,162804.1983,0,2002.895781,2002.895781,0,312.0386645,312.0386645,2314.934446,0,0,0,0,0,0,0,0,0,0,0,0,530.0733775,531.4613866,421.5583559,422.6622159,48.50671473,48.63373066,82.58212451,82.79836767,65.67616129,65.8481358,7.55704347,7.576831759
SNNP,Sidama,Bensa,ET070408,314963.6517,0,11941.46496,11941.46496,0,1352.021426,1352.021426,13293.48639,0,0,0,0,0,0,0,0,0,0,0,0,3205.677697,3123.298731,2549.421037,2483.906444,293.3497516,285.811299,362.9491814,353.6221743,288.6473206,281.2297103,33.21327414,32.35976501
SNNP,Sidama,Aroresa,ET070409,209254.6426,0,1389.850835,1389.850835,2848,2092.546426,4940.546426,6330.397261,0,0,0,0,0,0,826.22832,866.0257255,472.2023202,493.71001,94.37234455,95.46127969,369.5474592,367.0734833,293.894819,291.927308,33.81707882,33.59068668,556.3872004,552.6624054,442.4852924,439.5230262,50.91467777,50.57382389
SNNP,Sidama,Boricha,ET070410,313320.7492,0,13714.11989,13714.11989,0,3133.207492,3133.207492,16847.32738,0,0,0,0,0,0,0,0,0,0,0,0,3642.228128,3626.255412,2896.602181,2883.899351,333.2982343,331.8365802,832.1245952,828.4753758,661.7745601,658.8723979,76.14725069,75.81331269
